A,B,C,D,Result
0.9999000000,0.9999000000,0.9999000000,0.9999000000,0.9996000600,
0.0001000000,0.9999000000,0.9999000000,0.9999000000,0.0000999700,
0.9999000000,0.0001000000,0.9999000000,0.9999000000,0.0000999700,
0.0001000000,0.0001000000,0.9999000000,0.9999000000,0.0000000100,
0.9999000000,0.9999000000,0.0001000000,0.9999000000,0.0000999700,
0.0001000000,0.9999000000,0.0001000000,0.9999000000,0.0000000100,
0.9999000000,0.0001000000,0.0001000000,0.9999000000,0.0000000100,
0.0001000000,0.0001000000,0.0001000000,0.9999000000,0.0000000000,
0.9999000000,0.9999000000,0.9999000000,0.0001000000,0.0000999700,
0.0001000000,0.9999000000,0.9999000000,0.0001000000,0.0000000100,
0.9999000000,0.0001000000,0.9999000000,0.0001000000,0.0000000100,
0.0001000000,0.0001000000,0.9999000000,0.0001000000,0.0000000000,
0.9999000000,0.9999000000,0.0001000000,0.0001000000,0.0000000100,
0.0001000000,0.9999000000,0.0001000000,0.0001000000,0.0000000000,
0.9999000000,0.0001000000,0.0001000000,0.0001000000,0.0000000000,
0.0001000000,0.0001000000,0.0001000000,0.0001000000,0.0000000000,
Reliability,Safe Failure,Dangerous Failure
0.9999999400,0.0000000400,0.0000000200
