A,B,C,Result
0.9999000000,0.9999000000,0.9999000000,0.9997000300,
0.0001000000,0.9999000000,0.9999000000,0.0000999800,
0.9999000000,0.0001000000,0.9999000000,0.0000999800,
0.0001000000,0.0001000000,0.9999000000,0.0000000100,
0.9999000000,0.9999000000,0.0001000000,0.0000999800,
0.0001000000,0.9999000000,0.0001000000,0.0000000100,
0.9999000000,0.0001000000,0.0001000000,0.0000000100,
0.0001000000,0.0001000000,0.0001000000,0.0000000000,
Reliability,Safe Failure,Dangerous Failure
0.9999999700,0.0000000000,0.0000000300
